339 1660161021 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161022 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161023 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161024 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161025 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161026 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161027 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161028 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161029 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161030 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161031 1,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161032 1,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161033 1,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161034 1,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161035 1,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161036 6,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161037 6,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161038 6,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161039 6,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161040 6,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161046 3,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161047 3,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161048 3,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161049 3,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161050 3,000000 -1,000000 -101,000000 0,000000 0,000000
339 1660161051 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161052 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161053 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161054 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161055 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161056 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161057 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161058 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161059 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161060 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161061 0,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161062 0,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161063 0,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161064 0,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161065 0,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161066 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161067 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161068 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161069 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161070 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161071 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161072 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161073 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161074 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161075 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161086 2,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161087 2,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161088 2,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161089 2,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161090 2,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161091 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161092 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161093 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161094 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161095 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161096 3,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161097 3,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161098 3,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161099 3,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161100 3,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161106 0,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161107 0,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161108 0,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161109 0,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161110 0,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161111 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161112 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161113 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161114 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161115 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161116 2,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161117 2,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161118 2,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161119 2,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161120 2,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161121 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161122 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161123 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161124 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161125 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161126 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161127 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161128 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161129 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161130 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161131 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161132 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161133 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161134 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161135 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161136 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161137 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161138 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161139 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161140 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161141 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161142 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161143 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161144 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161145 0,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161146 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161147 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161148 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161149 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161150 0,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161151 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161152 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161153 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161154 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161155 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161161 3,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161162 3,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161163 3,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161164 3,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161165 3,400000 -1,000000 -101,000000 0,000000 0,000000
339 1660161176 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161177 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161178 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161179 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161180 1,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161181 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161182 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161183 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161184 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161185 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161186 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161187 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161188 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161189 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161190 1,600000 -1,000000 -101,000000 0,000000 0,000000
339 1660161191 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161192 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161193 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161194 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161195 3,200000 -1,000000 -101,000000 0,000000 0,000000
339 1660161201 2,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161202 2,800000 -1,000000 -101,000000 0,000000 0,000000
339 1660161203 2,800000 -1,000000 -101,000000 0,000000 0,000000
